event_id,department,event_type,severity,source
EV0458,Underwriting,Phishing Alert,Medium,Microsoft Defender
EV0459,Customer Service,Successful Login,Low,Microsoft Defender
EV0460,Operations,Malware Detection,Low,Microsoft Sentinel
EV0461,Customer Service,Malware Detection,Low,Microsoft Entra ID
EV0462,Finance,Unusual Network Activity,Low,Microsoft Defender
EV0463,HR,Privilege Escalation,Medium,Microsoft Sentinel
EV0464,Risk,Successful Login,High,Microsoft Defender
EV0465,IT,Suspicious Login,Medium,Microsoft Entra ID
EV0466,IT,Phishing Alert,Critical,Microsoft Sentinel
EV0467,Customer Service,Unusual Network Activity,Medium,Microsoft Entra ID
EV0468,Finance,Failed Login,Low,Microsoft Defender
EV0469,IT,Successful Login,High,Microsoft Defender
EV0470,IT,Malware Detection,Low,Microsoft Defender
EV0471,HR,Failed Login,Critical,Microsoft Defender
EV0472,Operations,Failed Login,High,Microsoft Defender
EV0473,Finance,Privilege Escalation,Medium,Microsoft Sentinel
EV0474,Risk,Suspicious Login,High,Microsoft Entra ID
EV0475,Operations,Successful Login,Low,Microsoft Entra ID
EV0476,Finance,Phishing Alert,High,Microsoft Defender
EV0477,Underwriting,Unusual Network Activity,High,Microsoft Sentinel
EV0478,Claims,Privilege Escalation,Low,Microsoft Defender
EV0479,Finance,Unusual Network Activity,Medium,Microsoft Sentinel
EV0480,HR,Successful Login,Low,Microsoft Defender
EV0481,Claims,Failed Login,Low,Microsoft Sentinel
EV0482,Underwriting,Malware Detection,Medium,Microsoft Sentinel
EV0483,Finance,Suspicious Login,Critical,Microsoft Entra ID
EV0484,Customer Service,Malware Detection,High,Microsoft Sentinel
EV0485,Customer Service,Suspicious Login,Low,Microsoft Defender
EV0486,Finance,Suspicious Login,Low,Microsoft Entra ID
EV0487,Claims,Suspicious Login,Low,Microsoft Sentinel
EV0488,Claims,Malware Detection,Low,Microsoft Sentinel
EV0489,HR,Successful Login,High,Microsoft Entra ID
EV0490,Operations,Malware Detection,Medium,Microsoft Entra ID
EV0491,Customer Service,Phishing Alert,Medium,Microsoft Defender
EV0492,Underwriting,Phishing Alert,Low,Microsoft Entra ID
EV0493,Claims,Successful Login,Medium,Microsoft Entra ID
EV0494,Finance,Phishing Alert,High,Microsoft Defender
EV0495,Underwriting,Unusual Network Activity,Medium,Microsoft Sentinel
EV0496,Claims,Failed Login,High,Microsoft Sentinel
EV0497,Risk,Failed Login,Medium,Microsoft Sentinel
EV0498,IT,Suspicious Login,High,Microsoft Defender
EV0499,HR,Failed Login,Low,Microsoft Defender
EV0500,Finance,Privilege Escalation,Medium,Microsoft Defender
